Column Name,Sample Entry,Label,Type,Description,Keywords
BLID,"Discrete values: BL, BZ, ZL",Record ID,String,Identifies the record type (e.g. BL for Bill of Lading).,id; record; type; identifier
BORD,Range from 102402 to 555487,Order Number,Integer,Sales order number.,order; number; sales; id
BLINE,"Discrete values: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14",Line Number,Integer,Line number within the order.,line; number; sequence; detail
BPROD,"Text data. Lengths: min 15, max 15, avg 15.0. Sample: OTOF3705       ",Product Code,String,Product identifier.,product; code; item; id
BQTY,"Some 0's (19.0%), Range from -20978.06 to 20360.0",Quantity,Decimal,Quantity of the product.,quantity; amount; count; volume
BNET,"Some 0's (35.1%), Range from -5848.0 to 55000.0",Net Amount,Decimal,Net monetary amount.,net; amount; value; price
BLOC,"Discrete values:       , B3    , CZ    , MC    , MD    , MH    , SA    ",Location,String,Inventory location code.,location; code; inventory; place
BWHS,"Text data. Lengths: min 2, max 2, avg 2.0. Sample: GA",Warehouse,String,Warehouse identifier.,warehouse; code; storage; facility
BDROP,"Discrete values:  , N, Y",Drop Ship Flag,Flag,Indicates if the item is drop shipped.,drop; ship; flag; indicator
BVATCD,"Discrete values:      , V0   , V22  , V23  , V4   , V7   , V8   ",VAT Code,String,Value Added Tax code.,vat; tax; code; financial
BLDTE,"Some 0's (0.8%), Range from 0 to 20251205",Date,Date,Transaction or record date.,date; transaction; record; time
BPORD,"Lots of 0's (56.6%), Range from 0 to 555454",Purchase Order,String,Customer purchase order number.,purchase; order; po; customer
BPLIN,"Lots of 0's (56.6%), Range from 0 to 18",PO Line,Integer,Purchase order line number.,po; line; number; detail
BLUM,"Discrete values:   , BX, HD, KG, SZ, TH, TN, ZG",UOM,String,Unit of measure.,uom; unit; measure; quantity
BLTR01,"Discrete values:      , V0   , V22  , V23  , V8   ",Transaction Code,String,Transaction type or code.,transaction; code; type; id
BLTA01,"Lots of 0's (73.5%), Range from 0.0 to 12519.36",Tax Amount 1,Decimal,Tax amount field 1.,tax; amount; 1; financial
BLTA02,Constant value of '0.0' for all entries,Tax Amount 2,Decimal,Tax amount field 2.,tax; amount; 2; financial
BLTA03,Constant value of '0.0' for all entries,Tax Amount 3,Decimal,Tax amount field 3.,tax; amount; 3; financial
