Column Name,Sample Entry,Label,Type,Description,Keywords
ICID,Constant value of 'IC' for all entries,Record ID,String,Identifies the record type; always 'IC' for Inventory Cost.,id; record; type; identifier
ICPROD,"Text data. Lengths: min 15, max 15, avg 15.0. Sample: AMESZ6         ",Product Code,String,Product identifier.,product; code; item; id
ICFAC,"Discrete values:   , PC",Facility,String,Facility code.,facility; code; location; site
ICLOTS,Range from 0.001 to 24000.0,Lot Size,Decimal,Standard lot size.,lot; size; quantity; standard
ICIOQ,"Discrete values: 0.0, 1.0, 4.8, 24.0, 24.5, 25.6, 36.0",Order Qty,Decimal,Economic order quantity.,order; quantity; eoq; amount
ICMIN,"Lots of 0's (51.8%), Range from 0.0 to 90000.0",Min Qty,Decimal,Minimum order quantity.,min; quantity; order; limit
ICLEAD,"Some 0's (33.2%), Range from 0 to 90",Lead Time,Integer,Lead time in days.,lead; time; days; duration
ICDLTR,Constant value of '0.0' for all entries,Delivery Time,Decimal,Delivery time rating or value.,delivery; time; rating; value
ICPCTK,Constant value of '0.0' for all entries,Percentage,Decimal,Percentage value.,percentage; rate; value; ratio
ICMAXR,Constant value of '0' for all entries,Max Rate,Decimal,Maximum rate.,max; rate; limit; value
ICMINR,Constant value of '0' for all entries,Min Rate,Decimal,Minimum rate.,min; rate; limit; value
ICTGQY,"Lots of 0's (93.5%), Range from 0.0 to 1000.0",Target Qty,Decimal,Target inventory quantity.,target; quantity; inventory; goal
ICARRT,Constant value of '0.0' for all entries,Arrival Time,Decimal,Arrival time.,arrival; time; schedule; duration
ICMXIN,"Lots of 0's (79.9%), Range from 0.0 to 50000.0",Max Inventory,Decimal,Maximum inventory level.,max; inventory; level; limit
ICDMTF,Constant value of '0' for all entries,Demand Time Fence,Integer,Demand time fence in days.,demand; time; fence; planning
ICMBHD,Constant value of '0' for all entries,Master Bill Header,String,Master bill of materials header ID.,master; bill; header; bom
ICMBDY,Constant value of '0' for all entries,Master Bill Detail,String,Master bill of materials detail ID.,master; bill; detail; bom
ICORDP,"Discrete values: A, G, I, J",Order Policy,String,Order policy code.,order; policy; code; planning
ICMRP,"Discrete values: M, N",MRP Controller,String,MRP controller code.,mrp; controller; code; planning
ICPURC,"Discrete values:  , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",Purchase Code,String,Purchase code.,purchase; code; procurement; type
ICCLAS,"Text data. Lengths: min 2, max 2, avg 2.0. Sample: ME",Class,String,Item classification.,class; code; category; type
ICACT,"Discrete values:  , Y",Active Flag,Flag,Indicates if the item is active.,active; flag; status; indicator
ICLEVL,Constant value of '0' for all entries,Level,Integer,BOM level.,level; bom; hierarchy; depth
ICORDC,Constant value of '0.0' for all entries,Order Cost,Decimal,Cost to place an order.,order; cost; financial; value
ICPODY,"Discrete values: 0, 7",Policy Days,Integer,Policy days.,policy; days; time; duration
ICSCST,"Lots of 0's (55.4%), Range from 0.0 to 79650.0",Standard Cost,Decimal,Standard cost of the item.,standard; cost; financial; value
ICACST,"Lots of 0's (73.5%), Range from 0.0 to 17458.8912",Actual Cost,Decimal,Actual cost of the item.,actual; cost; financial; value
ICFCST,"Lots of 0's (88.8%), Range from 0.0 to 104.18889",Future Cost,Decimal,Future cost of the item.,future; cost; financial; value
ICORGN,"Text data. Lengths: min 4, max 4, avg 4.0. Sample: PL  ",Origin,String,Country of origin.,origin; country; code; place
ICPVND,"Lots of 0's (51.2%), Range from 0 to 9999",Primary Vendor,String,Primary vendor number.,primary; vendor; supplier; id
ICSVND,"Lots of 0's (91.6%), Range from 0 to 7777",Secondary Vendor,String,Secondary vendor number.,secondary; vendor; supplier; id
