Column Name,Sample Entry,Label,Type,Description,Keywords
CRID,Constant value of 'CR' for all entries,Record ID,String,"Identifies the record type, 'CR' for Cross Reference.",id; record; type; cross; reference
CRCOA,Constant value of 'PPLSM' for all entries,Chart of Accounts,String,Chart of accounts code.,chart; accounts; code
CRLDGR,"Discrete values (2 unique): BANK, PPLSM",Ledger,String,Ledger code.,ledger; code; finance
CRCNKY,"Discrete values (2 unique): PPLSM   BANK, PPLSM   PPLSM",Concatenated Key,String,Concatenated key for the record.,key; concatenated; id
CRIAN,"10000 unique values. Range: 698731.0 to 719188.0. Mean: 707141.15, Median: 706085.50. Sample values: 699375.0, 702507.0, 702719.0, 711832.0, 712541.0, 712994.0, 716635.0, 716859.0, 717533.0, 719073.0",Internal Account No,Integer,Internal account number.,internal; account; number
CRSTAT,"Discrete values (2 unique): 0.0, 1.0",Status,Integer,Status of the record.,status; record; state
CRSG01,"Discrete values (2 unique): 1, 11",Segment 1,Integer,Account segment 1.,segment; 1; account
CRSG02,"Text/Mixed data with 108 unique values. Sample values: 420, 469, 768, 201, 433, 15, 741, 411. Most frequent: 420 (1266), 411 (801), 201 (661), 469 (564), 731 (443)",Segment 2,String,Account segment 2.,segment; 2; account
CRSG03,"Text/Mixed data with 354 unique values. 0.0% missing values. Sample values: 41102, 42008, 70001, 76808, 76803, 41100, 43101, 70004, 31018. Most frequent: 70001 (1908), 20001 (768), 42005 (512), 1006 (268), 40001 (236)",Segment 3,String,Account segment 3.,segment; 3; account
CRSG04,"Text/Mixed data with 89 unique values. 5.5% missing values. Sample values: PRPAP2, SALCO, SALCA, PRPLA3, SALTP. Most frequent: SALCA (2620), SALTP (833), SALCO (676), SALQB (589), PRPAP2 (498)",Segment 4,String,Account segment 4.,segment; 4; account
CRSG05,"Text/Mixed data with 173 unique values. 47.4% missing values. Sample values: PL, MAWI, ANZI, US, 3101. Most frequent: PL (2870), CZ (94), ADPI (76), ALWO (60), PIBO (59)",Segment 5,String,Account segment 5.,segment; 5; account
CRSG06,"Text/Mixed data with 733 unique values. 58.7% missing values. Sample values: BARNASZLAKU, CARREFOURLUBLIN, PCRUSSIA, HUHTAMAKIFOOD, CARREFOURKONIN, MAKRORZESZÃW, EUROBALCZ, WALKOP, BARGYROS. Most frequent: CARREFOUR (47), MAKROWARSZ (41), REAL (35), PCRUSSIA (34), HUHTAMAKIPOLSKA (31)",Segment 6,String,Account segment 6.,segment; 6; account
CRSG07,"Text/Mixed data with 72 unique values. 92.3% missing values. Sample values: BIUR11, IT09, BIUR01, BIUR12, BHP10, BIUR08, MEKS12, BIUR04, NARZ13. Most frequent: BIUR08 (56), BHP12 (51), NARZ12 (38), BIUR05 (33), NARZ16 (30)",Segment 7,String,Account segment 7.,segment; 7; account
CRSG08,Constant value of 'CH' for all entries,Segment 8,String,Account segment 8.,segment; 8; account
CRSG09,"Discrete values (9 unique): 2007, 2008, 2009, 2010, CH, NKBR, NKUR, ZME, ZWE",Segment 9,String,Account segment 9.,segment; 9; account
CRSG10,"Text/Mixed data with 26 unique values. 89.4% missing values. Sample values: RSALAR, REZPRE, RECONS, RERKNA, RPROWI, REKOSZ, RERENT. Most frequent: REKOSZ (207), REZPRE (206), RSALAR (123), RETSA (105), RERKNA (79)",Segment 10,String,Account segment 10.,segment; 10; account
CRSG11,"Discrete values (7 unique): *, AL, CG, CGFS, FS, PAP, PLA",Segment 11,String,Account segment 11.,segment; 11; account
