Column Name,Sample Entry,Label,Type,Description,Keywords
CMID,"Discrete values (2 unique): CM, CZ",Record ID,String,"Identifies the record type, 'CM' for Customer Master.",id; record; type; customer; master
CCUST,"1801 unique values. Range: 6.0 to 801726.0. Mean: 337701.85, Median: 102476.00. Sample values: 341.0, 101873.0, 102100.0, 102937.0, 800007.0, 800534.0, 800558.0, 800576.0, 800736.0, 800743.0",Customer Number,Integer,Unique identifier for the customer.,customer; number; id
CNME,"Text/Mixed data with 1659 unique values. Sample values: ENBIO TECHNOLOGY SP. Z O.O., DOM TOWAROWY REAL SKLEP 55, HURTOWNIA WEDKARSKA POL, PIGEON SPORT, FOLRES Sp. z o.o., P.H.U.KAMPOL MARCIN MAKOWSKI, CARREFOUR DEBICA, ARTEM SC,WOJCIECH KILKOWSKI, RAIDO S.C., ZDZISLAW KOSZCZAL. Most frequent: DALLMAYR VENDING&OFFICE SP.ZOO (29), HUHTAMAKI SWEDEN AB (16), HORTEX HOLDING SA (15), FIRMA ASTONSZEKALSKA BARBARA (15), PEPSI-COLA GENERAL BOTTLERS (12)",Customer Name,String,Name of the customer.,customer; name; company
CAD1,"Text/Mixed data with 1690 unique values. 0.3% missing values. Sample values: UL.SW.DUCHA 8/10, UL.CHEMICZNA 6, UL.BELGRADZKA 76, UL.POWSTANCÃW Â¡LÂ£SKICH 1, UL. SCHUBERTA 102A, SVETSARVAGEN 15, UL.MORSKA 53, UL.WOJSKA POLSKIEGO 18 A, UL.TOWAROWA 3, WOLA RAKOWA ,UL.G[ÃWNA 41/43. Most frequent: SPÃ[KA KOMANDYTOWA (25), SP. Z O.O. (15), AL.GRUNWALDZKA 105 (10), UL. POLUDNIOWA 8 (9), TOMASZ POSIAKOW (9)",Address 1,String,First line of address.,address; line1; location
CAD2,"Text/Mixed data with 1095 unique values. 0.1% missing values. Sample values: UL.MARYNARKI POLSKIEJ 71, GDYNIA, HEL, RUMIA, KROCZYCE, BYTOM, KOSCIERZYNA, SOPOT, KOSTRZYN WIELKOPOLSKI. Most frequent: GDYNIA (361), GDANSK (269), WARSZAWA (208), SZCZECIN (52), SOPOT (52)",Address 2,String,Second line of address.,address; line2; location
CAD3,"Text/Mixed data with 525 unique values. 54.3% missing values. Sample values: GDYNIA, 5905784310527, 83-400 KOSCIERZYNA ,KALISKA 50, 5900000900575, GDA]SK, 5900000900421, 5900012299292, 5900000900124, 5905784311333. Most frequent: GDYNIA (237), GDANSK (168), 0 (42), SOPOT (41), WARSZAWA (21)",Address 3,String,Third line of address.,address; line3; location
CSTE,Empty column,State,String,State or province code.,state; province; location
CZIP,"Text/Mixed data with 959 unique values. 4.5% missing values. Sample values: 81-575, 81-304, 26-600, 43-300, 82-400, 22-400, 160 00, 81-862, 83-400, 72-100. Most frequent: PL (461), 84-230 (46), 82-300 (36), 43-300 (33), 84-200 (32)",Zip Code,String,Postal or zip code.,zip; code; postal; address
CAMTD,"49 unique values. Lots of 0's (97.1%). Range: -16930.39 to 3357071.36. Mean: 8329.50, Median: 0.00. Contains decimal values. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Amount Due,Decimal,Total amount due from the customer.,amount; due; balance
CRDOL,"79 unique values. Range: 0.0 to 7000000.0. Mean: 349904.48, Median: 2500.00. Sample values: 1.0, 2500.0, 2500.0, 2500.0, 3000.0, 25000.0, 50000.0, 70000.0, 950000.0, 3500000.0",Credit Limit,Decimal,Credit limit for the customer.,credit; limit; amount
