Column Name,Sample Entry,Label,Type,Description,Keywords
LID,"Discrete values: CL, CS",Record ID,String,Identifies the record type; CL or CS.,id; record; type; identifier
LORD,Range from 250698 to 555511,Order Number,Integer,Customer order number.,order; number; sales; id
LLINE,"Discrete values: 1, 2, 3, 4",Line Number,Integer,Line number within the order.,line; number; sequence; detail
LPROD,"Text data. Lengths: min 35, max 35, avg 35.0. Sample: EXPORT ADMIN                       ",Product Code,String,Product identifier.,product; code; item; id
LCLAS,"Discrete values:   , 06, 10, 23, GR, IR, OP, PE, PG, TN",Class,String,Item classification code.,class; code; category; type
LQORD,"Some 0's (40.0%), Range from 0.0 to 10000.0",Order Qty,Decimal,Quantity ordered.,order; quantity; amount; volume
LQALL,Constant value of '0.0' for all entries,Allocated Qty,Decimal,Quantity allocated.,allocated; quantity; inventory; reserved
LQSHP,"Discrete values: 0.0, 1.0",Shipped Qty,Decimal,Quantity shipped.,shipped; quantity; amount; volume
LUM,"Discrete values:   , HD, KG, PL, TH, ZG",UOM,String,Unit of measure.,uom; unit; measure; quantity
LRDTE,"Discrete values: 20250416, 20250909, 20250918, 20250930, 20251021, 20251029, 20251030, 20251117, 20251120, 20251121, 20251205, 20251210, 20251216, 20260110",Request Date,Date,Requested delivery date.,request; date; delivery; time
LSDTE,"Discrete values: 20250416, 20250909, 20250918, 20250930, 20251021, 20251029, 20251030, 20251117, 20251120, 20251121, 20251205, 20251216",Ship Date,Date,Scheduled ship date.,ship; date; schedule; time
LNET,"Discrete values: 0.0, 1.78, 1.84, 76.89, 110.0, 250.0, 1025.62, 1116.78, 2331.7286, 10000.0, 42730.0",Net Price,Decimal,Net price per unit.,net; price; unit; value
LLIST,"Discrete values: 0.0, 1.78, 1.84, 76.89, 110.0, 250.0, 10000.0",List Price,Decimal,List price per unit.,list; price; unit; value
LOVRP,"Discrete values: 0.0, 1.78, 1.84, 76.89, 110.0, 250.0, 10000.0",Override Price,Decimal,Override price if applicable.,override; price; unit; value
LSTAT,"Discrete values:  , C, E",Status,String,Line item status.,status; code; state; condition
LWHS,"Discrete values: C4, CZ, D1, GA",Warehouse,String,Warehouse identifier.,warehouse; code; storage; facility
LSAL,Constant value of '0' for all entries,Sales Amount,Decimal,Sales amount.,sales; amount; value; revenue
LDESC,"Text data. Lengths: min 50, max 50, avg 50.0. Sample: .                                                 ",Description,String,Item description.,description; name; text; item
LCUST,"Discrete values: 0, 2410, 2641, 2974, 3014, 3041, 100765, 101466, 103310, 103537, 103851, 103914",Customer Number,Integer,Customer identifier.,customer; number; id; client
LODTE,"Discrete values: 0, 20250909, 20250916, 20250918, 20251020, 20251021, 20251024, 20251029, 20251104, 20251107, 20251120, 20251121, 20251204",Order Date,Date,Date the order was placed.,order; date; creation; time
LDROP,"Discrete values: N, Y",Drop Ship,Flag,Drop ship indicator.,drop; ship; flag; indicator
LCONT,"Discrete values: V23  , V8   ",Contract,String,Contract number or code.,contract; number; code; agreement
LORPR,"Discrete values: 0.0, 1.78, 1.84, 76.89, 110.0, 250.0, 10000.0",Order Price,Decimal,Price on the order.,order; price; value; financial
LBNET,"Discrete values: 0.0, 7.5274, 7.7812, 110.0, 250.0, 327.29, 1025.62, 1116.78, 2331.7286, 42565.0, 42730.0",Base Net,Decimal,Base net price.,base; net; price; value
LBLST,"Discrete values: 0.0, 7.5274, 7.7812, 110.0, 250.0, 327.29, 42565.0",Base List,Decimal,Base list price.,base; list; price; value
LRQTY,Constant value of '0.0' for all entries,Release Qty,Decimal,Quantity released.,release; quantity; amount; volume
LSCDT,Constant value of '0' for all entries,Schedule Date,Date,Schedule date.,schedule; date; time; planning
LCPNT,"Discrete values:  , N",Component Flag,Flag,Component flag.,component; flag; status; indicator
LRRSC,Constant value of '0' for all entries,Reason Code,String,Reason code.,reason; code; explanation; id
LPORD,Constant value of '0' for all entries,Purchase Order,String,Purchase order number.,purchase; order; po; id
LPLIN,Constant value of '0' for all entries,PO Line,Integer,Purchase order line.,po; line; number; detail
CLSAL,Constant value of '0' for all entries,Calc Sales,Decimal,Calculated sales amount.,calculated; sales; amount; value
CLBASI,Constant value of '0.0' for all entries,Calc Basis,Decimal,Calculated basis.,calculated; basis; value; financial
LBO,Constant value of '0' for all entries,Backorder,String,Backorder status.,backorder; status; code; inventory
LALOPR,"Discrete values: 0, 50",Alloc Priority,Integer,Allocation priority.,allocation; priority; level; ranking
LITEM,"Text data. Lengths: min 35, max 35, avg 35.0. Sample: EXPORT ADMIN                       ",Item Number,String,Item number.,item; number; id; product
LIRES,"Discrete values:   , 01",Reason Code 2,String,Secondary reason code.,reason; code; 2; explanation
LSHIP,Constant value of '0' for all entries,Shipment,Integer,Shipment number.,shipment; number; shipping; id
LICFAC,"Discrete values:   , PC",Facility,String,Facility code.,facility; code; location; site
LQSALL,"Discrete values: 0.0, 0.001, 0.18, 0.34, 0.54, 1.26, 5.0, 8.4, 39.0, 44.1, 144.0, 192.0, 288.0, 10000.0",Qty Sold All,Decimal,Total quantity sold.,quantity; sold; total; amount
LQPCK,Constant value of '0.0' for all entries,Qty Packed,Decimal,Quantity packed.,quantity; packed; amount; volume
LQTIN,Constant value of '0.0' for all entries,Qty Invoiced,Decimal,Quantity invoiced.,quantity; invoiced; amount; volume
LCONSL,Constant value of '0' for all entries,Consolidated,Flag,Consolidated flag.,consolidated; flag; status; indicator
LPRCON,Constant value of '0' for all entries,Print Conf,Flag,Print confirmation flag.,print; confirmation; flag; status
LUDTE1,Constant value of '0' for all entries,Last Update 1,Date,Last update date 1.,last; update; date; 1
LUDTE2,Constant value of '0' for all entries,Last Update 2,Date,Last update date 2.,last; update; date; 2
CLMNDT,"Discrete values: 0, 20251002, 20251103",Maint Date,Date,Maintenance date.,maintenance; date; last; update
LRLINE,"Discrete values: 0, 1",Rel Line,Integer,Release line number.,release; line; number; detail
LDSTY,"Discrete values: 0, 1",Dest Type,String,Destination type.,destination; type; code; shipping
LMNTR,"Discrete values:     , 30  ",Monitor,String,Monitor code.,monitor; code; tracking; system
LTRMC,"Discrete values:    , DAP, FCA",Terms Code,String,Terms of delivery code.,terms; code; delivery; shipping
CLTRNN,"Discrete values: 0, 10",Trans Number,Integer,Transaction number.,transaction; number; id; reference
CLAFPL,"Discrete values: 0, 1",After Plan,Flag,After plan flag.,after; plan; flag; status
CLALRQ,"Discrete values: 0, 1",Alloc Req,Flag,Allocation required flag.,allocation; required; flag; status
CLBALK,Constant value of '0' for all entries,Bulk Alloc,Flag,Bulk allocation flag.,bulk; allocation; flag; status
CLBOCL,"Discrete values: 4, 8",Backorder Class,String,Backorder classification.,backorder; class; category; inventory
CLOCLS,"Discrete values: 8, 204, 304",Order Class,String,Order classification.,order; class; category; type
CLBTYP,"Discrete values: 1, 7",Bill Type,String,Billing type.,bill; type; category; financial
CLUTYP,"Discrete values: 1, 7",User Type,String,User type.,user; type; category; system
CLSTS1,"Discrete values: 0, 1",Status 1,String,Status code 1.,status; code; 1; state
CLSTS2,Constant value of '0' for all entries,Status 2,String,Status code 2.,status; code; 2; state
CLSTS3,Constant value of '0' for all entries,Status 3,String,Status code 3.,status; code; 3; state
CLSTS4,"Discrete values: 0, 1",Status 4,String,Status code 4.,status; code; 4; state
CLSTS5,Constant value of '0' for all entries,Status 5,String,Status code 5.,status; code; 5; state
CLBRGC,"Discrete values:   , MC",Bridge Code,String,Bridge code.,bridge; code; system; integration
CLBBTL,"Discrete values: 0.0, 1.78, 1.84, 76.89, 110.0, 250.0, 1025.62, 1116.78, 2331.7286, 10000.0, 42730.0",Bill Total,Decimal,Billing total.,bill; total; amount; financial
CLLPSC,"Discrete values:   , 00, 03, 04, 12",Line Process,String,Line process code.,line; process; code; status
CLNPSC,"Discrete values:   , 00, 05, 06",Next Process,String,Next process code.,next; process; code; status
CLNPBL,"Discrete values: 0.0, 7.5274, 7.7812, 11.0, 250.0, 327.29, 1025.62, 1116.78, 6528.84, 42565.0, 42730.0",Net Payable,Decimal,Net payable amount.,net; payable; amount; financial
CLNPTL,"Discrete values: 0.0, 1.78, 1.84, 11.0, 76.89, 250.0, 1025.62, 1116.78, 6528.84, 10000.0, 42730.0",Net Total,Decimal,Net total amount.,net; total; amount; financial
