Column Name,Sample Entry,Label,Type,Description,Keywords
LID,"Discrete values: RL, ZL",Record ID,String,Identifies the record type; RL or ZL.,id; record; type; identifier
LORD,Range from 100001 to 100517,Order Number,Integer,RMA order number.,order; number; rma; id
LLINE,Range from 1 to 47,Line Number,Integer,Line number within the order.,line; number; sequence; detail
LPROD,"Text data. Lengths: min 15, max 15, avg 15.0. Sample: CGRVA1315      ",Product Code,String,Product identifier.,product; code; item; id
LCLAS,"Text data. Lengths: min 2, max 2, avg 2.0. Sample: GR",Class,String,Item classification code.,class; code; category; type
LQORD,"Some 0's (2.5%), Range from -8000.0 to 395.0",Order Qty,Decimal,Quantity ordered.,order; quantity; amount; volume
LQALL,Constant value of '0.0' for all entries,Allocated Qty,Decimal,Quantity allocated.,allocated; quantity; inventory; reserved
LQSHP,"Some 0's (11.0%), Range from -8000.0 to 395.0",Shipped Qty,Decimal,Quantity shipped.,shipped; quantity; amount; volume
LUM,"Discrete values: BX, HD, KG, SZ, TH, ZG",UOM,String,Unit of measure.,uom; unit; measure; quantity
LRDTE,Range from 20100105 to 20100701,Request Date,Date,Requested delivery date.,request; date; delivery; time
LSDTE,Range from 20100104 to 20100701,Ship Date,Date,Scheduled ship date.,ship; date; schedule; time
LNET,"Some 0's (8.2%), Range from 0.0 to 299600.0",Net Price,Decimal,Net price per unit.,net; price; unit; value
LLIST,"Some 0's (30.5%), Range from 0.0 to 211798.95",List Price,Decimal,List price per unit.,list; price; unit; value
LOVRP,"Lots of 0's (78.0%), Range from 0.0 to 116250.0",Override Price,Decimal,Override price if applicable.,override; price; unit; value
LSTAT,"Discrete values: 8, E",Status,String,Line item status.,status; code; state; condition
LLOC,"Discrete values:       , B3    , PS    , SA    ",Location,String,Inventory location.,location; code; inventory; place
LWHS,"Discrete values: B3, D2, MG, ML, MZ, PS, S4, SA, SE",Warehouse,String,Warehouse identifier.,warehouse; code; storage; facility
LSAL,Constant value of '0' for all entries,Sales Amount,Decimal,Sales amount.,sales; amount; value; revenue
LDESC,"Text data. Lengths: min 30, max 30, avg 30.0. Sample: SP255 SELECTA SHELL           ",Description,String,Item description.,description; name; text; item
LCUST,Range from 6 to 200003,Customer Number,Integer,Customer identifier.,customer; number; id; client
LODTE,Range from 20100106 to 20100701,Order Date,Date,Date the order was placed.,order; date; creation; time
LDROP,Constant value of 'N' for all entries,Drop Ship,Flag,Drop ship indicator.,drop; ship; flag; indicator
LCONT,Constant value of 'V22  ' for all entries,Contract,String,Contract number or code.,contract; number; code; agreement
LORPR,"Some 0's (23.7%), Range from 0.0 to 198560.0",Order Price,Decimal,Price on the order.,order; price; value; financial
LBNET,"Some 0's (8.2%), Range from 0.0 to 299600.0",Base Net,Decimal,Base net price.,base; net; price; value
LBLST,"Some 0's (30.5%), Range from 0.0 to 211798.95",Base List,Decimal,Base list price.,base; list; price; value
LRQTY,Constant value of '0.0' for all entries,Release Qty,Decimal,Quantity released.,release; quantity; amount; volume
LSCDT,Constant value of '0' for all entries,Schedule Date,Date,Schedule date.,schedule; date; time; planning
LCPNT,Constant value of 'N' for all entries,Component Flag,Flag,Component flag.,component; flag; status; indicator
