Column Name,Sample Entry,Label,Type,Description,Keywords
LHID,Constant value of 'LH' for all entries,Record ID,String,"Identifies the record type, 'LH' for Ledger History.",id; record; type; ledger; history
LHLDGR,"Discrete values (2 unique): BANK, PPLSM",Ledger,String,Ledger code.,ledger; code; finance
LHBOOK,"Discrete values (3 unique): EUR, PPLSM, USD",Book,String,Book code.,book; code; finance
LHYEAR,Constant value of '2025.0' for all entries,Year,Integer,Fiscal year.,year; fiscal
LHPERD,Constant value of '1.0' for all entries,Period,Integer,Fiscal period.,period; fiscal
LHJNEN,"Text/Mixed data with 1907 unique values. Sample values: ZK0000028, SP0000375, SP0000441, SP0000324, ZK0000003, SP0000010, SP0000120, SP0000169, BK0000010, BK0000006. Most frequent: ZK0000004 (256), ZK0000003 (180), ZK0000019 (152), ZK0000007 (152), ZK0000002 (152)",Journal Entry,String,Journal entry number.,journal; entry; number
LHJNLN,"256 unique values. Range: 1.0 to 256.0. Mean: 16.12, Median: 3.00. Sample values: 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 9.0, 21.0, 124.0",Line Number,Integer,Journal line number.,line; number; journal
LHIAN,"1125 unique values. Range: 699668.0 to 1062700.0. Mean: 850601.16, Median: 770096.00. Sample values: 716069.0, 716070.0, 741924.0, 769473.0, 770100.0, 770100.0, 921435.0, 1020746.0, 1034101.0, 1034101.0",Internal Account No,Integer,Internal account number.,internal; account; number
LHDRAM,"2279 unique values. Lots of 0's (73.6%). Range: -12151174.94 to 12154399.2. Mean: 11676.02, Median: 0.00. Contains decimal values. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 658.05, 3719.52, 6647.14, 180231.96",Debit Amount,Decimal,Debit amount in base currency.,debit; amount; base
LHCRAM,"3201 unique values. Lots of 0's (54.1%). Range: -12153450.34 to 12154399.2. Mean: 11608.72, Median: 0.00. Contains decimal values. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 196.0, 5505.48, 6479.16, 7776.0",Credit Amount,Decimal,Credit amount in base currency.,credit; amount; base
LHDRAT,"2085 unique values. Lots of 0's (74.6%). Range: -2844243.0 to 4844638.33. Mean: 8325.86, Median: 0.00. Contains decimal values. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 910.0, 1096.82, 5011.02",Debit Trans Amt,Decimal,Debit amount in transaction currency.,debit; amount; transaction
LHCRAT,"2759 unique values. Lots of 0's (55.6%). Range: -2844243.0 to 4844638.33. Mean: 8258.57, Median: 0.00. Contains decimal values. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.97, 362.8, 1519.81",Credit Trans Amt,Decimal,Credit amount in transaction currency.,credit; amount; transaction
LHLSTS,Constant value of '3.0' for all entries,Line Status,Integer,Status of the journal line.,line; status
LHSTAT,Constant value of '0.0' for all entries,Status,Integer,Status of the record.,status; record
LHLDES,"Text/Mixed data with 209 unique values. 0.0% missing values. Sample values: Zaplata sprzedaz, Przedplata sprzedazy, 30 DNI / DAYS, 30 DAYS 2% SKTO, OP[ATY POCZTOWE, 250001, Zaplata sprz., 55 DNI / DAYS, 250002. Most frequent: 250001 (2312), Przedplata sprzedazy (1044), 350001 (720), 250009 (707), 21 DNI / DAYS (626)",Line Description,String,Description of the journal line.,line; description; journal
LHJRF1,"455 unique values. Range: 6.0 to 801819.0. Mean: 85009.45, Median: 100098.00. Sample values: 837.0, 860.0, 1958.0, 3684.0, 100098.0, 100098.0, 103646.0, 103646.0, 103692.0, 103876.0",Reference 1,String,Journal reference 1.,reference; journal
LHJRF2,"Text/Mixed data with 398 unique values. 5.0% missing values. Sample values: BPL, OIOC02011, CGRVA3564, BEU, CGRVA7694, CGRBA7513. Most frequent: BPL (4929), BEU (1171), KOM (146), GPEPEPALETAE (137), LISB-HTL90351MC (112)",Reference 2,String,Journal reference 2.,reference; journal
LHDREF,"Text/Mixed data with 1035 unique values. 1.9% missing values. Sample values: CDOM, CEXE, CEXN, BNP2025003, 68/11-2024, 24/T/1857, CICE. Most frequent: CDOM (2419), CEXE (449), BNP2500003 (444), BNP2500007 (220), CICE (218)",Doc Reference,String,Document reference.,document; reference
