Column Name,Sample Entry,Label,Type,Description,Keywords
CCID,"Discrete values (2 unique): CC, CZ",Record ID,String,"Identifies the record type, 'CC' for Code Master.",id; record; type; code; master
CCTABL,"Text/Mixed data with 127 unique values. Sample values: BIL550LG, SIRF2, ISA-PAL, ORDSRCE, K2BTKART. Most frequent: ISA-PAL (5666), BIL550LG (2195), SIRF2 (392), VNDCLASS (161), VMREF1 (118)",Table Name,String,Name of the table the code belongs to.,table; name; code
CCCODE,"Text/Mixed data with 9258 unique values. Sample values: 1164, CGRVA4857, 423, 2425, S, CGRVA4471, 102077, 598, 2483, 103357. Most frequent: 1 (42), 2 (35), 3 (32), 0 (30), 4 (23)",Code Value,String,The code value itself.,code; value; key
CCLANG,"Discrete values (3 unique): ENG, FRE, GER",Language,String,Language code for the description.,language; code
CCALTC,"Discrete values (4 unique): BX, EI, TH, UN",Alt Code,String,Alternate code value.,alternate; code
CCDESC,"Text/Mixed data with 8738 unique values. 0.1% missing values. Sample values: P1;102864;, CGRVA2682, Other Packaging Materials, P1;1984  ;, C54, Document Year, P1;55    ;, P1;1394  ;, CGRVA3647, Anna Warmuz. Most frequent: P1;FMPOL ; (475), P1;RABEN ; (378), P1;HELLMA; (20), P1;SPEDPO; (19), P1;DSV   ; (13)",Description,String,Description of the code.,description; text; name
CCSDSC,"Text/Mixed data with 411 unique values. 90.2% missing values. Sample values: Cups, Indirect, T, Metry, Containers, 62, IDC/CDC, 15. Most frequent: Cups (119), Indirect (108), Direct (51), Lids (42), Other (23)",Short Desc,String,Short description of the code.,short; description
CCNOT1,"Text/Mixed data with 78 unique values. 95.0% missing values. Sample values: RI_Paper Folded Carton, RI_Others, Plates, RI_Plastic Accessories, Food Container, Packaging Materials, RI_Extra Charges, RI_Plastic Straws. Most frequent: RI_Paper Hot Cups (36), Raw Materials (35), RI_Paper Insulation Hot Cups (26), Repair & Maintenance (25), RI_Paper Cold Cups (23)",Note 1,String,Additional note 1.,note; comment
CCNOT2,"Text/Mixed data with 344 unique values. 95.1% missing values. Sample values: Other Charges, Other PA Accessories, Company Cars, Override is allowed, Externally Purchased Traded Go, Cutlery, PA Tissue, SDW10, Forklifts, PS Indi Vending Cups. Most frequent: Polymers (15), Usr1:0=Mass,1=Single,2=Copy (10), Group Insurance (9), Local Insurance (9), Inks, Lacquers & Dyes (8)",Note 2,String,Additional note 2.,note; comment
CCUDC1,"Discrete values (3 unique): 0.0, 1.0, 2.0",User Code 1,String,User defined code 1.,user; code
CCUDC2,Constant value of '0.0' for all entries,User Code 2,String,User defined code 2.,user; code
CCUDC3,Constant value of '0.0' for all entries,User Code 3,String,User defined code 3.,user; code
CCRESV,"Discrete values (3 unique): 0.0, 1.0, 2.0",Reserved,String,Reserved field.,reserved
CCENDT,"1560 unique values. Range: 0.0 to 20190821.0. Mean: 20046604.38, Median: 20111027.00. Sample values: 20020509.0, 20030930.0, 20040831.0, 20050930.0, 20100412.0, 20160119.0, 20160702.0, 20160712.0, 20170426.0, 20170613.0",Entry Date,Date,Date the code was entered.,entry; date; created
CCENTM,"7138 unique values. Range: 0.0 to 233451.0. Mean: 119699.23, Median: 121620.00. Sample values: 60200.0, 113327.0, 115714.0, 121141.0, 122811.0, 123312.0, 125516.0, 150628.0, 150718.0, 151757.0",Entry Time,Time,Time the code was entered.,entry; time; created
CCENUS,"Text/Mixed data with 25 unique values. 0.0% missing values. Sample values: ZIMNAAN, B610ADM, KAPCIAEL, INFORM01. Most frequent: B610ADM (4601), ZIMNAAN (2375), OGOLNY01 (1101), INFORM01 (784), WCISLOJO (392)",Entry User,String,User who entered the code.,entry; user; created
CCMNDT,"341 unique values. Range: 0.0 to 20250828.0. Mean: 19877449.77, Median: 20181211.00. Sample values: 20120524.0, 20130330.0, 20130330.0, 20130330.0, 20130330.0, 20181211.0, 20181211.0, 20181211.0, 20190911.0, 20190911.0",Maint Date,Date,Date of last maintenance.,maintenance; date; updated
CCMNTM,"5652 unique values. Range: 0.0 to 235450.0. Mean: 128588.00, Median: 141048.00. Sample values: 0.0, 85711.0, 91920.0, 103720.0, 112541.0, 113245.0, 113308.0, 121408.0, 151636.0, 152212.0",Maint Time,Time,Time of last maintenance.,maintenance; time; updated
CCMNUS,"Discrete values (16 unique): B610ADM, B610EDU, BPCSSECOFR, CHWASTEL, E4US, FSPIER, INFORM01, K2B, KROKMO, OGOLNY01, PUR01, S2B, SSA, SZLAPAAG, WCISLOJO, ZIMNAAN",Maint User,String,User who performed last maintenance.,maintenance; user; updated
