Column Name,Sample Entry,Label,Type,Description,Keywords
IID,IM or IZ,Item Status Active or Inactive,String,"Identifies the transaction status of an item, typically 'IM' or 'IZ'. | [BPCS Docs]: 'IM' – active item, 'IZ' – inactive",Active; status; type; record; identifier
IPROD,"AELB15, NIRL1129       ",Item Number,String,The primary product code or item number identifying the item.,product; code; item; number; identifier
IDESC,"BEZPIECZNIK TYR25A SIBA5012406, POJEMNIK SALATKOWY MCD 775ML  ",Item Description,String,"Descriptive text for the item, providing details about the product. | [BPCS Docs]: item description",description; name; text; details; product
IADJ,"Value  coded as 0 for all entries, Flag field perhaps",Adjustment Flag,Flag,Flag indicating if adjustments are allowed or relevant. Currently coded as 0 for all entries.,adjustment; flag; indicator; status; zero
IRCT,"Lots of 0's, Value ranges from -49 to positive 22000, primarily values between 100 and 10000",Receipts Quantity,Decimal,"Quantity of items received. Values range from negative to positive, primarily between 100 and 10000.",receipts; quantity; inbound; received; count
IISS,"Lots of 0s, Distribution from negative -690 to positive 250 000",Issues Quantity,Decimal,Quantity of items issued. Distribution ranges from negative to positive values.,issues; quantity; outbound; issued; count
IOPB,"Lots of 0's, Distribution from negative -1550 to positive 89999",Opening Balance,Decimal,Opening inventory balance. Distribution ranges from negative to positive values.,opening; balance; inventory; stock; start
IYISS,"Lots of 0's, Distribution from negative -550 to positive 300 000, lots of small deciamal values near the 0, 0.0, 0.2 etc.",YTD Issues,Decimal,Year-to-Date issues quantity. Includes small decimal values.,ytd; issues; quantity; year-to-date; outbound
IYTDU,"Lots of 0's, Distribution from negative -4800 to positive 2800 000, lots of small deciamal values near the 0, 0.0, 0.2 etc.",YTD Usage,Decimal,Year-to-Date usage quantity. Includes small decimal values.,ytd; usage; quantity; year-to-date; consumption
IYSLS,"Lots of 0's, Distribution from negative -15000 to positive 18000000,",YTD Sales,Decimal,Year-to-Date sales quantity or value. Distribution ranges from negative to large positive values.,ytd; sales; revenue; year-to-date; quantity
IMSLS,"Lots of 0's, Distribution from negative -3200 to positive 18000000, ",MTD Sales,Decimal,Month-to-Date sales quantity or value. Distribution ranges from negative to large positive values.,mtd; sales; revenue; month-to-date; quantity
ICLAS,"Classification Schema: CA, EL, FC, FF, MT, OT, PL, PR, RA, RL, SC, SU, TR, WA, WR, etc",Item Class,String,"Classification schema for the item, not template, used for accounting (e.g., CA, EL, FC). | [BPCS Docs]: item class – USED FOR ACCOUNTING!!!",class; item; accounting; category; classification; type; group
IUMS,"EA: Each

FT: Foot / Feet

KG: Kilogram

L: Liter

M: Meter

TH: Thousand",Stocking UOM,String,"Unit of measure used for stocking the item (e.g., EA, KG, M).",uom; stocking; unit; measure; inventory
IUMP,"EA: Each

FT: Foot / Feet

KG: Kilogram

L: Liter

M: Meter

TH: Thousand",Purchasing UOM,String,"Unit of measure used for purchasing the item (e.g., EA, KG, M).",uom; purchasing; unit; measure; procurement
IUMCN,"1's the default for all items, flag value",UOM Conversion Flag,Flag,Flag or factor for UOM conversion. Default is 1 for all items.,uom; conversion; flag; factor; default
IITYP,"0, 6, A, F, G, I, P, R, S, T, (Blanks)",User Item Type Code,String,"Code indicating the type of item (e.g., 0, 6, A, F). | [BPCS Docs]: item type",type; code; category; item; classification
ILEAD,"12, 14, 15, 21, 28, 30, 32, 35, 40, 42, 45, 49, 50, and then sharply increasing until 380, values between 0 and 50 are very much repeated.",Lead Time,Integer,Lead time for the item. Values between 0 and 50 are common.,lead time; days; duration; planning; time
IVEND,Rich populated with values  from 0 to 30000 in the ,Primary Vendor,Integer,Identifier for the primary vendor. Values range from 0 to 30000.,vendor; supplier; primary; id; source
IVEN2,"Populated with values from 0 to 30000, a lot of 0's",Secondary Vendor,Integer,Identifier for the secondary vendor. Values range from 0 to 30000.,vendor; supplier; secondary; id; source
ICUSA,"Some lower negative values, lots of 0's pos values are up till 40 000, mostly staying below 10000",Customer Account,Integer,Customer account number associated with the item. Mostly below 10000.,customer; account; id; client; sales
IPRDA,"Lots of 0's, no negative values, scaling slowly to 80 000, lots of decimals values",Production Area / Daily Avg,Decimal,"Production related value, possibly daily average. Scales to 80,000 with decimals.",production; average; daily; quantity; rate
IMIN,"Values from 0 up until 50, then incrementing by tens, then hundreds and a few in the thousands.",Minimum Inventory,Integer,Minimum inventory level. Values increment by tens and hundreds.,minimum; inventory; stock; level; limit
ILDTE,"20181116, 20160613, 2023115 - same format, generated for each item.",Last Transaction Date,Date,Date of the last transaction. Format YYYYMMDD.,date; last; transaction; activity; timestamp
ILIST,Flag Value of 0 for all items,List Price Flag,Flag,Flag related to list price. Value is 0 for all items.,list; price; flag; zero; unused
ISCST,Flag Value of 0 for all items,Standard Cost Flag,Flag,Flag related to standard cost. Value is 0 for all items.,standard; cost; flag; zero; unused
IACST,"Lots of small decimal values around 0, e.g. 0.04, incrasing in small increments to the thousands. Also lots of 0's for a lot of items. ",Average Cost,Decimal,Average cost of the item. Small decimal values increasing to thousands.,average; cost; price; value; valuation
IFCST,Flag Value of 0 for all items,Forecast Flag,Flag,Flag related to forecasting. Value is 0 for all items.,forecast; flag; zero; unused; planning
ILEVL,"Lots of 0's for most entries, distrubtion of values from 1 - 7 , then from 89 to 99. ",Item Level,Integer,Level of the item in the hierarchy or BOM. Values 1-7 and 89-99.,level; hierarchy; bom; depth; structure
IONOD,"Fields has some large negative values -350 000 till positive in the 600 000's, mostly 0's for entrys, and most positive values below 10000",On Order Quantity,Decimal,Quantity currently on order. Ranges from negative to positive values.,on order; quantity; inbound; supply; pending
INSEQ,Flag Value of 0 for all items,Sequence Flag,Flag,Flag related to sequence. Value is 0 for all items.,sequence; flag; zero; unused; order
ITSEQ,"Contains values from 0 to 8000, and every number inbetween",Transaction Sequence,Integer,Transaction sequence number. Values from 0 to 8000.,transaction; sequence; id; order; number
ICYC,"3 alternative, 0, 4 and 6",Cycle Count Code,Integer,"Code for cycle counting. Values are 0, 4, and 6.",cycle; count; code; inventory; frequency
IDRAW,"Numericals with asterix: *A, *A *D, *B, *E, *F, *G, lots of blank fields as well",Drawing Number,String,Engineering drawing number or reference. Contains asterisks and letters.,drawing; number; engineering; reference; spec
