Column Name,Sample Entry,Label,Type,Description,Keywords
TID,Constant value of 'TH' for all entries,Transaction History ID,String,Record identifier for transaction history records. Constant 'TH' indicates Transaction History.,transaction; history; id; record; identifier
TPROD,"Text/Mixed data. 530 unique values. Samples: CGRIA3200      , CGRVA4335      , SPR3281        , SPS3405        , SPR4101        ",Product Code,String,Product code involved in the transaction. 530 unique products.,product; item; code; number; identifier
TSEQ,"Discrete values: 1, 2, 3, 4, 5, 6",Sequence Number,Integer,Transaction sequence number for multiple transactions on same order/item.,sequence; number; order; transaction; line
TTYPE,"Discrete values: # , B , C , DP, DS, IG, IW, IZ, T+, T-",Transaction Type,String,"Type of transaction code (# for adjustment, B for BOM, C for cycle count, DP/DS for production, IG for goods in, IW for warehouse, IZ for inventory zero, T+/T- for transfers).",type; transaction; code; category; operation
TTDTE,Constant value of '20210125' for all entries,Transaction Date,Date,Date when transaction occurred. Value 20210125 (January 25 2021).,date; transaction; timestamp; occurrence; when
TQTY,"Lots of 0's (88.9%), Range from -1292.0 to 998.0, Contains decimal values",Transaction Quantity,Decimal,Quantity of items in the transaction. Mostly zeros with range from -1292 to 998.,quantity; amount; count; volume; transaction
TWHS,"Discrete values:   , C4, C5, CZ, GA, MB, QC",Warehouse,String,"Warehouse code for the transaction. Warehouses: C4, C5, CZ, GA, MB, QC.",warehouse; location; site; code; facility
TLOCT,"Discrete values:       , C4    , C5    , CZ    , GA    , QC    ",Location Code,String,Specific location within warehouse for the transaction.,location; bin; code; spot; storage
TPRIC,"Discrete values: 0.0, 63.71, 85.59219, 117.92197, 251.19152, 254.86949, 399.49078, 406.31, 1039.975, 1150.31, 1521.9, 3515.0, 12296.8",Unit Price,Decimal,Unit price or cost of item at time of transaction. Range from 0 to 12296.8.,price; cost; unit; value; amount
TREF,"Lots of 0's (92.3%), Range from 0 to 446011",Reference Number,String,"Reference number for the transaction (e.g., Order #, PO #, Invoice #). Mostly zeros.",reference; number; order; link; identifier
TVAL,"Lots of 0's (95.7%), Range from -23978.12 to 2079.95, Contains decimal values",Transaction Value,Decimal,Total monetary value of the transaction. Mostly zeros with range -23978 to 2079.,value; amount; total; monetary; dollars
TSDTE,"Discrete values: 0, 20210111, 20210120, 20210121, 20210122, 20210125, 20210126, 20210127, 20210129",Settlement Date,Date,Date of settlement or shipping. Various dates in January 2021.,date; settlement; shipping; delivery; when
TREFM,"Discrete values: 0, 1340, 1371, 100536, 101788, 800904, 800961, 801088, 801623",Secondary Reference,String,Additional reference number or manufacturing order number.,reference; secondary; order; manufacturing; number
TCOM,"Text/Mixed data. 16 unique values. Samples: T L F PC ALL 02, P L F PC ALL 02, P L F PC ALL 03, P L F PC ALL 04, P L F PC ALL 02 is used for hundreds of values. ",Comment,String,"Comment or description code for the transaction (e.g., 'P L F PC ALL 02' appears frequently).",comment; description; code; note; text
TCLAS,"Discrete values: CA, EL, GR, IO, IR, IS, ME, PG, PS, PU, PZ, TF, TR, TS",Transaction Class,String,"Classification code for transaction type (CA, EL, GR, IO, IR, IS, ME, PG, PS, PU, PZ, TF, TR, TS).",class; classification; category; type; code
