Column Name,Sample Entry,Label,Type,Description,Keywords
VNSTAT,"Discrete values (2 unique): A, D",Vendor Status,String,"Status of the vendor (A=Active, D=Deleted/Inactive).",vendor; status; state; active
VMID,"Discrete values (2 unique): VM, VZ",Record ID,String,"Identifies the record type, 'VM' for Vendor Master.",id; record; type; vendor
VENDOR,"3625 unique values. Range: 1.0 to 99010.0. Mean: 2536.20, Median: 1813.00. Sample values: 137.0, 760.0, 1648.0, 1656.0, 1812.0, 2122.0, 2274.0, 2675.0, 5020.0, 5057.0",Vendor Number,String,Unique identifier for the vendor.,vendor; supplier; id; number
VNDNAM,"Text/Mixed data with 3566 unique values. Sample values: ARMADA FLEET MANAGEMENT S.A., ARPEX FH, KAJ SPOLKA Z OGRANICZONA, KNOW HUB, SOLAR INKS LTD, SCORPIO SP. Z.O.O., SEDLAK & SEDLAK SP. Z O. O., CENTRO-PAK, CENTRUM EDU.-SZKO.CITY COLLEGE, COOKIE SLODYCZE REKLAMOWE. Most frequent: MEDIA MARKT POLSKA SP. Z O.O. (4), LOGICOR(PRESIDENT POLSKA) (3), ECHO PRZED.PROD.- USLUGOWE (2), MEYER QUICK SERVICE LOGISTICS (2), HUHTAMAKI FOODSERVICE POLAND (2)",Vendor Name,String,Name of the vendor.,vendor; name; supplier; company
VSTATE,Constant value of 'PL' for all entries,State,String,State or province code.,state; province; location
VPOST,"Text/Mixed data with 1990 unique values. 3.0% missing values. Sample values: 41-922, 87-800, 42-270, 40-555, 00-867, 61-755, 30-865, 31-581, 39-200, 10-467. Most frequent: 41-200 (53), 41-100 (49), 44-100 (45), 43-100 (39), 41-250 (32)",Postal Code,String,Postal or zip code.,postal; zip; code; address
VTERMS,"Discrete values (15 unique): 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 16, 17, 20, 22, 23",Payment Terms,String,Payment terms code.,payment; terms; code
VTYPE,"Discrete values (3 unique): SDTR, SI/C, SITR",Vendor Type,String,"Classification of the vendor (e.g., Trade, Intercompany).",vendor; type; class; category
VPAYTO,"3608 unique values. Range: 1.0 to 99001.0. Mean: 2275.00, Median: 1810.00. Sample values: 268.0, 359.0, 577.0, 1373.0, 1489.0, 1498.0, 2095.0, 2395.0, 2408.0, 4599.0",Pay-To Vendor,String,"Vendor number to whom payment is sent (if different).",pay-to; vendor; payment; alternate
VDTLPD,"1343 unique values. Some 0's (12.7%). Range: 0.0 to 20251128.0. Mean: 17622821.06, Median: 20170901.00. Sample values: 0.0, 0.0, 20110208.0, 20150818.0, 20180109.0, 20190515.0, 20201117.0, 20210804.0, 20240701.0, 20251105.0",Last Paid Date,Date,Date of the last payment to this vendor.,last; paid; date; payment
VDAYCL,Constant value of '0.0' for all entries,Days to Clear,Integer,Days to clear payment.,days; clear; payment
VGL,Empty column,GL Account,String,General Ledger account associated with the vendor.,gl; account; finance
V1099,Constant value of 'N' for all entries,1099 Flag,Flag,1099 reporting flag.,1099; flag; tax
V1099C,Constant value of 'AL' for all entries,1099 Code,String,1099 code.,1099; code; tax
VCMPNY,Constant value of '1.0' for all entries,Company Code,String,Company identifier.,company; code; entity
