Column Name,Sample Entry,Label,Type,Description,Keywords
HID,Constant value of 'CH' for all entries,Record ID,String,Identifies the record type; always 'CH' for Customer Order Header.,id; record; type; identifier
HORD,Range from 250669 to 555515,Order Number,Integer,Customer order number.,order; number; sales; id
HEDTE,Range from 20250821 to 20251204,Entry Date,Date,Date the order was entered.,entry; date; creation; time
HCUST,Range from 1290 to 999990,Customer Number,Integer,Customer identifier.,customer; number; id; client
HCTYP,"Discrete values: CDOM, CEXE, CEXN, CICE",Customer Type,String,Customer type code.,customer; type; category; code
HLINS,"Discrete values: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Line Count,Integer,Number of lines in the order.,line; count; number; total
HDTOT,"Some 0's (30.5%), Range from -993.95 to 171033.54",Doc Total,Decimal,Document total amount.,document; total; amount; financial
HSTAT,"Discrete values: 8, C, E, F, G, V",Status,String,Order status.,status; code; state; condition
HSAL,"Discrete values: 1, 20, 21, 25, 31, 32, 33, 50, 51, 55, 80",Salesperson,String,Salesperson code.,salesperson; code; employee; sales
HCPO,"Text data. Lengths: min 15, max 15, avg 15.0. Sample: POBC10511      ",Customer PO,String,Customer purchase order number.,customer; po; purchase; order
HTERM,"Discrete values: 0, 3, 4, 5, 6, 7, 16, 21, 33, 80",Terms Code,String,Payment terms code.,terms; code; payment; financial
HTDES,"Discrete values: 120 DNI / DAYS , 14 DNI / DAYS  , 15DNI 4%SK 45D , 21 DNI / DAYS  , 30 DNI / DAYS  , 35 DNI / DAYS  , 45 DNI / DAYS  , 60 DAYS NETTING, 60 DNI / DAYS  , PRZEDP[ATA     ",Terms Desc,String,Description of payment terms.,terms; description; payment; text
HCOST,"Some 0's (20.7%), Range from -4216.73 to 445230.9",Cost Amount,Decimal,Total cost amount.,cost; amount; financial; value
HNAME,"Text data. Lengths: min 30, max 30, avg 30.0. Sample: PREMIER RESTAURANTS LATVIA SIA",Customer Name,String,Name of the customer.,customer; name; text; client
HAD1,"Text data. Lengths: min 30, max 30, avg 30.0. Sample: GREEN PARK                    ",Address 1,String,Address line 1.,address; 1; location; contact
HAD2,"Text data. Lengths: min 30, max 30, avg 30.0. Sample: DZIRNIEKU STREET 26,MARUPE    ",Address 2,String,Address line 2.,address; 2; location; contact
HAD3,"Text data. Lengths: min 30, max 30, avg 30.0. Sample: DISTRICT,LATVIA               ",Address 3,String,Address line 3.,address; 3; location; contact
HPOST,"Text data. Lengths: min 9, max 9, avg 9.0. Sample: 2167     ",Postal Code,String,Postal or zip code.,postal; code; zip; location
HBACK,"Discrete values: 0, 1",Backorder Flag,Flag,Backorder allowed flag.,backorder; flag; status; indicator
HDTYP,"Discrete values: 1, 7",Doc Type,String,Document type code.,document; type; code; category
HPTOT,"Some 0's (23.2%), Range from -0.031 to 20000.0",Payment Total,Decimal,Total payment amount.,payment; total; amount; financial
HSDTE,"Some 0's (7.3%), Range from 0 to 20260108",Ship Date,Date,Scheduled ship date.,ship; date; schedule; time
HCRED,"Discrete values: 0, 1, 2",Credit Check,String,Credit check status.,credit; check; status; financial
HCHG,Constant value of '0.0' for all entries,Charge Amount,Decimal,Additional charge amount.,charge; amount; financial; value
HWHSE,"Discrete values:   , C4, CZ, D1, GA",Warehouse,String,Warehouse code.,warehouse; code; storage; facility
HSHIP,"Discrete values: 0, 1",Ship Complete,Flag,Ship complete flag.,ship; complete; flag; status
HRDTE,Range from 20250128 to 20260108,Request Date,Date,Requested delivery date.,request; date; delivery; time
HCOMP,Constant value of '1' for all entries,Company Code,String,Company identifier.,company; code; entity; id
HCOUN,"Text data. Lengths: min 4, max 4, avg 4.0. Sample: LV  ",Country,String,Country code.,country; code; location; place
HATN,"Discrete values:                               , SZA[SZA                       ",Attention,String,Attention name.,attention; name; contact; person
HPAYC,"Discrete values: N, P",Payment Code,String,Payment method code.,payment; code; method; financial
HTAX,"Discrete values: EXP  , VAT  ",Tax Code,String,Tax code.,tax; code; financial; category
