Column Name,Sample Entry,Label,Type,Description,Keywords
SID,Constant value of 'SZ' for all entries,Record ID,String,"Identifies the record type, 'SZ' for Shop Order.",id; record; type; shop; order
SORD,"9999 unique values. Range: 100001.0 to 123223.0. Mean: 108940.36, Median: 110911.50. Sample values: 100099.0, 102634.0, 102750.0, 110113.0, 110801.0, 111308.0, 112306.0, 113516.0, 113573.0, 114274.0",Shop Order Number,Integer,Unique identifier for the shop order.,shop; order; number; id
SPROD,"Text/Mixed data with 1597 unique values. Sample values: A002, SPR1154, SPR1243, SPR1363149-02, CGRVA1215, CGRBA1131, CGRVA0707, CGRBA1522, CGRVA1425, TGFL3S01TT. Most frequent: NGFLC2100 (98), NGFLC3100 (83), CGRVA115301 (71), A002 (62), SPR1153 (56)",Product Number,String,Product or item number being manufactured.,product; item; number
SRDTE,"620 unique values. Range: 20091222.0 to 20120824.0. Mean: 20107879.24, Median: 20110324.00. Sample values: 20100108.0, 20100813.0, 20100820.0, 20100915.0, 20101013.0, 20110224.0, 20111003.0, 20111021.0, 20111125.0, 20120102.0",Release Date,Date,Date the order was released.,release; date; order
SDDTE,"618 unique values. Range: 20091222.0 to 20120824.0. Mean: 20107904.23, Median: 20110328.00. Sample values: 20100517.0, 20100819.0, 20110607.0, 20110607.0, 20110608.0, 20111005.0, 20111020.0, 20111107.0, 20120109.0, 20120209.0",Due Date,Date,Date the order is due.,due; date; order
SQREQ,"2054 unique values. Range: 0.001 to 140000.0. Mean: 2269.82, Median: 495.50. Contains decimal values. Sample values: 90.0, 108.0, 150.0, 180.0, 300.0, 400.0, 444.0, 1012.32, 1250.0, 4600.0",Quantity Required,Decimal,Quantity required to be produced.,quantity; required; amount
SQFIN,"4802 unique values. Some 0's (12.9%). Range: 0.0 to 140191.0. Mean: 2085.78, Median: 350.00. Contains decimal values. Sample values: 101.25, 105.0, 110.0, 118.8, 250.8, 287.5, 600.0, 854.0, 1089.0, 2100.0",Quantity Finished,Decimal,Quantity finished so far.,quantity; finished; amount
SSTAT,Constant value of 'X' for all entries,Status,String,Status of the shop order.,status; order; state
SCORD,"551 unique values. Lots of 0's (93.2%). Range: 0.0 to 165960.0. Mean: 10178.34, Median: 0.00. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Customer Order,Integer,Associated customer order number.,customer; order; number
SCUST,"76 unique values. Lots of 0's (93.2%). Range: 0.0 to 801003.0. Mean: 3732.75, Median: 0.00. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1156.0",Customer Number,Integer,Customer number.,customer; number; id
SCOM,"Discrete values (7 unique): NGFLC2100/01, ROLKI ZE ZMNIEJSZONA WAGA, Released by Forward Scheduling, SELEKCJA, TEST 7301TT, TESTY, Zwoln.przez Planowanie w PrzÃ³d",Comment,String,Comments or notes.,comment; notes; description
SRSDT,"545 unique values. Some 0's (20.4%). Range: 0.0 to 99999999.0. Mean: 24198076.08, Median: 20101201.00. Sample values: 0.0, 0.0, 0.0, 20100510.0, 20101001.0, 20110408.0, 20110418.0, 20110729.0, 20110901.0, 99999999.0",Reschedule Date,Date,Reschedule date.,reschedule; date
SPRIO,Constant value of '0.0' for all entries,Priority,Decimal,Priority of the order.,priority; order
SCRIT,Constant value of '999.99' for all entries,Critical Ratio,Decimal,Critical ratio.,critical; ratio
SHRSR,Constant value of '0.0' for all entries,Hours Remaining,Decimal,Hours remaining.,hours; remaining
SHRSS,Constant value of '0.0' for all entries,Setup Hours,Decimal,Setup hours.,setup; hours
SHRSM,Constant value of '0.0' for all entries,Machine Hours,Decimal,Machine hours.,machine; hours
SWRKC,"38 unique values. Range: 0.0 to 9999.0. Mean: 3943.19, Median: 4209.00. Sample values: 3101.0, 3205.0, 4204.0, 4211.0, 4212.0, 4213.0, 4302.0, 4302.0, 4302.0, 4302.0",Work Center,Integer,Work center code.,work; center; code
SOPNO,"Discrete values (2 unique): 0.0, 10.0",Operation Number,Integer,Operation number.,operation; number
SOVBS,Constant value of '1.0' for all entries,Variable Overhead,Decimal,Variable overhead.,variable; overhead
SWHS,"Discrete values (5 unique): C3, CZ, PP, PS, SA",Warehouse,String,Warehouse code.,warehouse; code; location
SLOC,Empty column,Location,String,Location code.,location; code
SACB,Constant value of '0.0' for all entries,ACB,Decimal,ACB?,acb
SLAST,Constant value of '0.0' for all entries,Last,Decimal,Last?,last
SPFCL,Empty column,Parent Facility,String,Parent facility.,parent; facility
SOLOT,Empty column,Lot Number,String,Lot number.,lot; number
SOCMPN,Empty column,Component,String,Component.,component
SOPLOT,Constant value of '0' for all entries,Parent Lot,String,Parent lot number.,parent; lot; number
SOBOMM,Empty column,BOM,String,Bill of materials.,bom
SORTEM,Empty column,Route,String,Route.,route
SOFAC,Constant value of 'PC' for all entries,Facility,String,Facility code.,facility; code
