Oracle DB Column,FBDI Column Name,Tech Comments,Data Type,Max Length,Field Description,Legacy Table Name,Legacy Column Name,Legacy Field Description,Mapping Logic,Confidence Score
ITEM_NUMBER,Item Number,Sample: test_item_01,VARCHAR2,300,Unique number associated with the item.,,,,,
ORGANIZATION_CODE,Organization Code,Sample: INV_ORG_1,VARCHAR2,18,Code that identifies the organization. Review and update the value for this attribute using the Manage Inventory Organizations task in the Setup and Maintenance work area.,,,,,
DESCRIPTION,Description,,VARCHAR2,240,"Description of the part, item, product, or service.",,,,,
LOOKUP_CODE,Template Name,Sample: Finished Good,VARCHAR2,960,"Name of the template to apply to the item. Review and update the value for this attribute using the Setup and Maintenance work area, and the Manage Item Classes task. The default template is set at the item class.",,,,,
ITEM_CLASS_NAME,Item Class Name,Sample: Root Item Class,VARCHAR2,820,Value that uniquely identifies the item class. Review and update the value for this attribute using the Manage Item Classes task in the Setup and Maintenance work area.,,,,,
PRIMARY_UOM_CODE,Primary Unit of Measure,Sample: Each,VARCHAR2,25,Primary unit of measure of the item. Review and update the value for this attribute using the Manage Units of Measures task in the Setup and Maintenance work area.,,,,,
CURRENT_PHASE_CODE,Lifecycle Phase,Sample: Production,VARCHAR2,120,"Name of lifecycle phase of the item. Review and update the value for this attribute using the Setup and Maintenance work area, and the Manage Lifecycle Phases task.",,,,,
INVENTORY_ITEM_STATUS_CODE,Item Status,Sample: Active,VARCHAR2,10,Status of the transaction activity for the item.,,,,,
ASN_AUTOEXPIRE_FLAG,Automatically Expire ASN,Sample: 1,NUMBER,,"Contains one of the following values: 1 or 2.  If 1, then automatically expire the advance shipment notice. If 2, then don't automatically expire the advance shipment notice.",,,,,
CONSIGNED_FLAG,Consigned,Sample: 1,NUMBER,,"Contains one of the following values: 1 or 2.  If 1, then the item resides at your location but the supplier owns it. If 2, then the item resides at your location and you own it.",,,,,
FIXED_DAYS_SUPPLY,Fixed Days Supply,Sample: 23,NUMBER,,Number of days to modify the size and timing of each planned order quantity.,,,,,
