Oracle DB Table,Oracle DB Column,FBDI Column,FBDI Column Name,Tech Comments,Field Description,Mandatory,Data Type,Max Length,Default,Comments,Legacy Table Name,Legacy Column Name,Legacy Field Description,Legacy Data Type,Mapping Logic
HZ_PARTIES ,PARTY_NAME,C,Supplier Name*,Sample: MBC Corp,Supplier name,Yes,VARCHAR2,360,,(Legal Name) - Required by Business based on Huhtamaki Guidelines,,,,,"
Field name : Supplier name , need validation by data owners to confirm the legal entity name"
POZ_SUPPLIERS,SEGMENT1,E,Supplier Number*,Sample : 12345,Supplier number. If you plan to use automatic supplier numbering then no value need be provided here.,No,VARCHAR2,30,,,,,,,"Automatic numbering from Fusion, Legacy system supplier number is mapped to DFF supplier reference at site level"
HZ_ADDTNL_PARTY_NAMES,VENDOR_NAME_ALT,F,Alternate Name,Sample: MBC Corp,Alternate supplier name,No,VARCHAR2,360,,,,,,,No Alternate name
POZ_SUPPLIERS,ORGANIZATION_TYPE_LOOKUP_CODE,G,Tax Organization Type*,Sample: Organization,Organization type,Yes,VARCHAR2,30,,,,,,,"Corporation is for all the companies(97% cases)
Individual for any employees/Individual and also can some percentage of government agencies.
Need the logic to determine Corporation/Individual/Employee"
POZ_SUPPLIERS,VENDOR_TYPE_LOOKUP_CODE,H,Supplier Type*,Sample: Contractor,Supplier type,No,VARCHAR2,30,,(Supplier Type) -Required by Business based on Huhtamaki Guidelines,,,,,"Need confirmation from Business to consiber below mapping,
If the Supplier name contain ""Huhtamaki' than its 'internal' else it will be 'Supplier'"
,END_DATE_ACTIVE,I,Inactive Date,Sample: 2025/12/21,Date supplier is inactivated.,No,DATE,YYYY/MM/DD,,"(Supplier Status) -Required by Business based on Huhtamaki Guidelines 

If the Inactive Date field is blank or contains a future date, the Status will be set to Active. Otherwise, the Status will be inactive
",,,,,
POZ_SUPPLIERS,BUSINESS_RELATIONSHIP,J,Business Relationship*,Sample: SPEND_AUTHORIZED,Business relationship of the enterprise with the supplier. Valid only for CREATE action.,Yes,VARCHAR2,30,,,,,,,"Constant Value ""SPEND_AUTHORIZED"""
HZ_ADDTNL_PARTY_NAMES,ALIAS,L,Alias,Sample: 12345,Name as captured by the users to internally identify the organization.,No,VARCHAR2,360,,,,,,,Not in use
POZ_SUPPLIERS,ONE_TIME_FLAG,N,One-time supplier,Sample: N,Indicates whether the supplier is a one time supplier,No,VARCHAR2,1,,"Y, N",,,,,Constant Value 'N'
ZX_PARTY_TAX_PROFILE,TAX_COUNTRY_CODE,V,Taxpayer Country,Sample: US,Tax country code,No,VARCHAR2,2,,,,,,,"Field name: 'Country' code
Business team need to ensure the country code is updated for all active suppliers"
POZ_SUPPLIERS_PII,NUM_1099,W,Taxpayer ID,Sample: 123456,Tax identification number(1099),No,VARCHAR2,30,,(Tax Identification Number / Company identity ID ) - Required by Business based on Huhtamaki Guidelines,,,,,"Local Business Id.
Field mapped: 'Local TIN'
Accenture to confirm to remove '-' existing current data. It should have 10 digit number and unique among suppliers"
ZX_PARTY_TAX_PROFILE,VAT_REGISTRATION_NUM,AG,Tax Registration Number,Sample: 1234567,VAT registration number,No,VARCHAR2,20,,(Tax Identification Number / Company identity ID ) - Required by Business based on Huhtamaki Guidelines,,,,,"VAT Number 
Format 1: For poland Supplier, 'Local TIN' with 'PL' prefix
Format 2: For other country supplier mapped to 'Tax Identifier', This need validation and data cleansing
Note: Tax Registration number of the registration country must be recorded on Header level. If supplier has multiple tax registrations, alternative Tax registration numbers should be recorded on address level.
"
IBY_EXT_PARTY_PMT_MTHDS,PAYMENT_METHOD_LOOKUP_CODE,AI,Payment Method,Sample: Electronic,Payment method identifier,No,VARCHAR2,30,,,,,,,"maintained at supplier sites level, Not required at this level"
HZ_PARTIES,PARTY_NUMBER,ET,Registry ID,Sample: 12345,"An optional Attribute, when provided will be used to check whether a party already exists with this number and the usage will be created based on that.",No,VARCHAR2,30,,,,,,,"To be reviewed specially in IC area
Customer Registry Id to link Supplier to Customer (Get value from Traget System).
To link supplier to customer, customer should exists in a system"
IBY_EXTERNAL_PAYEES_ALL,EXCLUSIVE_PAYMENT_FLAG,EV,Pay Each Document Alone,Sample: Y,Yes or No flag indicating whether documents payable for this payee should be prevented from being grouped with other like documents payable for payment.,No,VARCHAR2,1,,"Y,N",,,,,Leave it blank
HZ_PARTIES,PARTY_NAME,C,Supplier Name*,Sample: MBC Corp,Supplier Name unique identifier.,Yes,VARCHAR2,360,,(Legal Name) - Required by Business based on Huhtamaki Guidelines,,,,,Legal entity name of the Supplier
HZ_PARTY_SITES,PARTY_SITE_NAME,D,Address Name *,Sample: Main-Pay,Supplier address unique identifier. The attribute is obtained from TCA (HZ_PARTY_SITES).,Yes,VARCHAR2,240,,,,,,,It will be defined as city name as mentioned in assumption section
